Centerline Points:
Index, X, Y, Z
0, 0.00, 0.00, 0.00
1, -0.05, 1.33, 0.00
2, -0.08, 2.66, 0.00
3, -0.10, 3.98, 0.00
4, -0.09, 5.29, 0.00
5, -0.08, 6.60, 0.00
6, -0.05, 7.91, 0.00
7, -0.02, 9.22, 0.00
8, 0.01, 10.53, 0.00
9, 0.04, 11.83, 0.00
10, 0.07, 13.14, 0.00
11, 0.09, 14.45, 0.00
12, 0.10, 15.77, 0.00
13, 0.09, 17.09, 0.00
14, 0.06, 18.41, 0.00
15, 0.01, 19.74, 0.00
16, -0.06, 21.08, 0.00
17, -0.14, 22.42, 0.00
18, -0.22, 23.76, 0.00
19, -0.28, 25.09, 0.00
20, -0.30, 26.41, 0.00
21, -0.26, 27.72, 0.00
22, -0.15, 29.00, 0.00
23, 0.05, 30.26, 0.00
24, 0.35, 31.49, 0.00
25, 0.74, 32.69, 0.00
26, 1.22, 33.87, 0.00
27, 1.77, 35.03, 0.00
28, 2.39, 36.18, 0.00
29, 3.06, 37.30, 0.00
30, 3.78, 38.42, 0.00
31, 4.54, 39.52, 0.00
32, 5.33, 40.62, 0.00
33, 6.14, 41.72, 0.00
34, 6.96, 42.82, 0.00
35, 7.78, 43.91, 0.00
36, 8.59, 45.02, 0.00
37, 9.40, 46.13, 0.00
38, 10.17, 47.25, 0.00
39, 10.92, 48.39, 0.00
40, 11.63, 49.54, 0.00
41, 12.32, 50.70, 0.00
42, 12.97, 51.87, 0.00
43, 13.59, 53.06, 0.00
44, 14.18, 54.26, 0.00
45, 14.75, 55.46, 0.00
46, 15.28, 56.68, 0.00
47, 15.79, 57.91, 0.00
48, 16.26, 59.14, 0.00
49, 16.71, 60.39, 0.00
50, 17.13, 61.64, 0.00
51, 17.52, 62.91, 0.00
52, 17.89, 64.18, 0.00
53, 18.23, 65.46, 0.00
54, 18.54, 66.74, 0.00
55, 18.82, 68.03, 0.00
56, 19.08, 69.33, 0.00
57, 19.31, 70.63, 0.00
58, 19.52, 71.94, 0.00
59, 19.70, 73.25, 0.00
60, 19.86, 74.57, 0.00
61, 19.99, 75.89, 0.00
62, 20.10, 77.22, 0.00
63, 20.19, 78.54, 0.00
64, 20.25, 79.88, 0.00
65, 20.29, 81.21, 0.00
66, 20.30, 82.54, 0.00
67, 20.30, 83.88, 0.00
68, 20.27, 85.22, 0.00
69, 20.21, 86.56, 0.00
70, 20.14, 87.90, 0.00
71, 20.05, 89.23, 0.00
72, 19.93, 90.57, 0.00
73, 19.79, 91.91, 0.00
74, 19.64, 93.24, 0.00
75, 19.46, 94.58, 0.00
76, 19.26, 95.91, 0.00
77, 19.05, 97.23, 0.00
78, 18.81, 98.56, 0.00
79, 18.56, 99.88, 0.00
80, 18.28, 101.20, 0.00
81, 17.99, 102.51, 0.00
82, 17.68, 103.82, 0.00
83, 17.36, 105.12, 0.00
84, 17.01, 106.42, 0.00
85, 16.65, 107.71, 0.00
86, 16.27, 108.99, 0.00
87, 15.88, 110.27, 0.00
88, 15.47, 111.54, 0.00
89, 15.05, 112.80, 0.00
90, 14.61, 114.06, 0.00
91, 14.15, 115.30, 0.00
92, 13.68, 116.54, 0.00
93, 13.19, 117.76, 0.00
94, 12.70, 118.98, 0.00
95, 12.18, 120.19, 0.00
96, 11.66, 121.38, 0.00
97, 11.12, 122.57, 0.00
98, 10.56, 123.74, 0.00
99, 10.00, 124.90, 0.00
