Cross Section Normals:
Index, Normal_X, Normal_Y, Normal_Z
0, -0.0399, 0.9992, 0.0000
1, -0.0315, 0.9995, 0.0000
2, -0.0160, 0.9999, 0.0000
3, -0.0029, 1.0000, 0.0000
4, 0.0077, 1.0000, 0.0000
5, 0.0158, 0.9999, 0.0000
6, 0.0213, 0.9998, 0.0000
7, 0.0242, 0.9997, 0.0000
8, 0.0244, 0.9997, 0.0000
9, 0.0220, 0.9998, 0.0000
10, 0.0171, 0.9999, 0.0000
11, 0.0095, 1.0000, 0.0000
12, -0.0006, 1.0000, 0.0000
13, -0.0133, 0.9999, 0.0000
14, -0.0283, 0.9996, 0.0000
15, -0.0451, 0.9990, 0.0000
16, -0.0582, 0.9983, 0.0000
17, -0.0608, 0.9981, 0.0000
18, -0.0510, 0.9987, 0.0000
19, -0.0285, 0.9996, 0.0000
20, 0.0073, 1.0000, 0.0000
21, 0.0571, 0.9984, 0.0000
22, 0.1214, 0.9926, 0.0000
23, 0.1972, 0.9804, 0.0000
24, 0.2737, 0.9618, 0.0000
25, 0.3424, 0.9395, 0.0000
26, 0.4019, 0.9157, 0.0000
27, 0.4523, 0.8919, 0.0000
28, 0.4940, 0.8694, 0.0000
29, 0.5278, 0.8494, 0.0000
30, 0.5543, 0.8323, 0.0000
31, 0.5743, 0.8187, 0.0000
32, 0.5882, 0.8087, 0.0000
33, 0.5964, 0.8027, 0.0000
34, 0.5993, 0.8005, 0.0000
35, 0.5970, 0.8022, 0.0000
36, 0.5894, 0.8078, 0.0000
37, 0.5764, 0.8171, 0.0000
38, 0.5586, 0.8295, 0.0000
39, 0.5383, 0.8428, 0.0000
40, 0.5176, 0.8556, 0.0000
41, 0.4967, 0.8679, 0.0000
42, 0.4757, 0.8796, 0.0000
43, 0.4546, 0.8907, 0.0000
44, 0.4335, 0.9012, 0.0000
45, 0.4123, 0.9110, 0.0000
46, 0.3912, 0.9203, 0.0000
47, 0.3701, 0.9290, 0.0000
48, 0.3490, 0.9371, 0.0000
49, 0.3281, 0.9447, 0.0000
50, 0.3072, 0.9516, 0.0000
51, 0.2865, 0.9581, 0.0000
52, 0.2660, 0.9640, 0.0000
53, 0.2456, 0.9694, 0.0000
54, 0.2255, 0.9742, 0.0000
55, 0.2055, 0.9786, 0.0000
56, 0.1858, 0.9826, 0.0000
57, 0.1663, 0.9861, 0.0000
58, 0.1471, 0.9891, 0.0000
59, 0.1281, 0.9918, 0.0000
60, 0.1094, 0.9940, 0.0000
61, 0.0910, 0.9959, 0.0000
62, 0.0728, 0.9973, 0.0000
63, 0.0549, 0.9985, 0.0000
64, 0.0373, 0.9993, 0.0000
65, 0.0199, 0.9998, 0.0000
66, 0.0029, 1.0000, 0.0000
67, -0.0139, 0.9999, 0.0000
68, -0.0305, 0.9995, 0.0000
69, -0.0468, 0.9989, 0.0000
70, -0.0628, 0.9980, 0.0000
71, -0.0785, 0.9969, 0.0000
72, -0.0940, 0.9956, 0.0000
73, -0.1093, 0.9940, 0.0000
74, -0.1243, 0.9922, 0.0000
75, -0.1390, 0.9903, 0.0000
76, -0.1536, 0.9881, 0.0000
77, -0.1679, 0.9858, 0.0000
78, -0.1820, 0.9833, 0.0000
79, -0.1960, 0.9806, 0.0000
80, -0.2097, 0.9778, 0.0000
81, -0.2232, 0.9748, 0.0000
82, -0.2365, 0.9716, 0.0000
83, -0.2497, 0.9683, 0.0000
84, -0.2627, 0.9649, 0.0000
85, -0.2755, 0.9613, 0.0000
86, -0.2882, 0.9576, 0.0000
87, -0.3008, 0.9537, 0.0000
88, -0.3132, 0.9497, 0.0000
89, -0.3255, 0.9456, 0.0000
90, -0.3376, 0.9413, 0.0000
91, -0.3497, 0.9369, 0.0000
92, -0.3617, 0.9323, 0.0000
93, -0.3735, 0.9276, 0.0000
94, -0.3853, 0.9228, 0.0000
95, -0.3970, 0.9178, 0.0000
96, -0.4086, 0.9127, 0.0000
97, -0.4202, 0.9074, 0.0000
98, -0.4317, 0.9020, 0.0000
99, -0.4375, 0.8992, 0.0000
