Cross Section Points:
Section_Index, Point_Index, X, Y, Z
0, 0, 10.99, 0.44, 0.00
0, 1, 10.97, 0.44, -0.69
0, 2, 10.90, 0.44, -1.38
0, 3, 10.80, 0.43, -2.06
0, 4, 10.65, 0.42, -2.74
0, 5, 10.45, 0.42, -3.40
0, 6, 10.22, 0.41, -4.05
0, 7, 9.95, 0.40, -4.68
0, 8, 9.63, 0.38, -5.30
0, 9, 9.28, 0.37, -5.89
0, 10, 8.89, 0.35, -6.47
0, 11, 8.47, 0.34, -7.01
0, 12, 8.01, 0.32, -7.53
0, 13, 7.52, 0.30, -8.02
0, 14, 7.01, 0.28, -8.48
0, 15, 6.46, 0.26, -8.90
0, 16, 5.89, 0.24, -9.29
0, 17, 5.30, 0.21, -9.64
0, 18, 4.68, 0.19, -9.95
0, 19, 4.05, 0.16, -10.23
0, 20, 3.40, 0.14, -10.46
0, 21, 2.73, 0.11, -10.65
0, 22, 2.06, 0.08, -10.81
0, 23, 1.38, 0.05, -10.91
0, 24, 0.69, 0.03, -10.98
0, 25, -0.00, -0.00, -11.00
0, 26, -0.69, -0.03, -10.98
0, 27, -1.38, -0.05, -10.91
0, 28, -2.06, -0.08, -10.81
0, 29, -2.73, -0.11, -10.65
0, 30, -3.40, -0.14, -10.46
0, 31, -4.05, -0.16, -10.23
0, 32, -4.68, -0.19, -9.95
0, 33, -5.30, -0.21, -9.64
0, 34, -5.89, -0.24, -9.29
0, 35, -6.46, -0.26, -8.90
0, 36, -7.01, -0.28, -8.48
0, 37, -7.52, -0.30, -8.02
0, 38, -8.01, -0.32, -7.53
0, 39, -8.47, -0.34, -7.01
0, 40, -8.89, -0.35, -6.47
0, 41, -9.28, -0.37, -5.89
0, 42, -9.63, -0.38, -5.30
0, 43, -9.95, -0.40, -4.68
0, 44, -10.22, -0.41, -4.05
0, 45, -10.45, -0.42, -3.40
0, 46, -10.65, -0.42, -2.74
0, 47, -10.80, -0.43, -2.06
0, 48, -10.90, -0.44, -1.38
0, 49, -10.97, -0.44, -0.69
0, 50, -10.99, -0.44, 0.00
0, 51, -10.97, -0.44, 0.69
0, 52, -10.90, -0.44, 1.38
0, 53, -10.80, -0.43, 2.06
0, 54, -10.65, -0.42, 2.74
0, 55, -10.45, -0.42, 3.40
0, 56, -10.22, -0.41, 4.05
0, 57, -9.95, -0.40, 4.68
0, 58, -9.63, -0.38, 5.30
0, 59, -9.28, -0.37, 5.89
0, 60, -8.89, -0.35, 6.47
0, 61, -8.47, -0.34, 7.01
0, 62, -8.01, -0.32, 7.53
0, 63, -7.52, -0.30, 8.02
0, 64, -7.01, -0.28, 8.48
0, 65, -6.46, -0.26, 8.90
0, 66, -5.89, -0.24, 9.29
0, 67, -5.30, -0.21, 9.64
0, 68, -4.68, -0.19, 9.95
0, 69, -4.05, -0.16, 10.23
0, 70, -3.40, -0.14, 10.46
0, 71, -2.73, -0.11, 10.65
0, 72, -2.06, -0.08, 10.81
0, 73, -1.38, -0.05, 10.91
0, 74, -0.69, -0.03, 10.98
0, 75, -0.00, -0.00, 11.00
